,Sharpe Ratio,Volatility,Annualized Expected return (perc),Value at risk (perc)
Lower risk,1.715228407441737,0.10918743443131318,23.72813892722704,-1.0201844192905445
Higher risk,2.238794645219606,0.12854424629263475,33.77841702737408,-1.263192497106099
